uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:7h14W1uQK7sjpVI1oVTobt,Wandering Star,Portishead,6liAMWkVf5LH7YR9yfFy1Y,3539EbNgIdEDGBKkUf4wno,Dummy,293200,False,58,0.639,0.37,6,-10.883,1,0.0723,0.504,0.587,0.117,0.707,80.152
spotify:track:4bPkBHKLKd9WHizsvM2zV3,Warning Sign,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head,331133,False,63,0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666
spotify:track:29bO9mtroMXBjCBH7Pbbwq,We Are Pilots,Shiny Toy Guns,6UocZe4AprSYBvmn3J0oqY,7EJf2RoD8f2Tm7hzpwK4bQ,We Are Pilots,254866,False,25,0.596,0.825,6,-5.407,0,0.0368,0.0455,0.00118,0.108,0.426,101.993
spotify:track:6X2MDg2350Z7UMYSNjSjUy,Weight Of The World,Saliva,5S6hjAxgxjsLylsTtMIimO,0XanoL4BiRd52WeYfDWCkA,Back Into Your System (Explicit Version),268066,False,0,0.383,0.888,5,-4.611,0,0.0817,0.000894,8.58e-06,0.089,0.387,180.079
spotify:track:5MZFXKHRKB59gb7KZPAaBi,What I See,Lacuna Coil,4OAddazJM576euUnFSvXSL,7rMen6gw9hrmDuZNH1iUfT,Karmacode,221093,False,32,0.503,0.715,0,-6.463,1,0.0258,3.92e-06,0.833,0.141,0.183,103.98
spotify:track:3nzL5CIQiCEt6jRt1AlQ9d,Whatever It Takes,Lifehouse,5PokPZn11xzZXyXSfnvIM3,1ISFv3wJNEj1DxP64UWEMO,Who We Are,207240,False,58,0.439,0.874,0,-4.165,1,0.0299,0.00571,0.0,0.176,0.527,150.036
spotify:track:7AdsGzEPnPWqpzA2qax2Z1,Who Cares?,Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,7p2aWivr9OLXocSTTKtG9B,St. Elsewhere,147880,False,36,0.703,0.883,10,-5.603,0,0.144,0.115,1.52e-05,0.45,0.908,163.986
spotify:track:23iFER67b8UKCW67hQTJOs,Within Me,Lacuna Coil,4OAddazJM576euUnFSvXSL,7rMen6gw9hrmDuZNH1iUfT,Karmacode,218906,False,37,0.284,0.528,9,-6.838,0,0.0307,0.0048,0.0191,0.113,0.116,106.616
spotify:track:7rczpwobym4Vi0tOb2iINf,Without Fear,Lacuna Coil,4OAddazJM576euUnFSvXSL,7rMen6gw9hrmDuZNH1iUfT,Karmacode,239733,False,26,0.394,0.615,11,-7.069,1,0.0308,0.000917,0.00556,0.101,0.232,90.004
spotify:track:0ZkLBauXOMQLQAdzQKawSl,The Worst Day Since Yesterday,Flogging Molly,5kQGFREO5FzMBMsAO3cEtj,17DfzMvhWL7EjCdqWpqj9P,Swagger,218786,False,0,0.338,0.49,2,-7.634,1,0.0341,0.257,3.34e-06,0.241,0.341,138.165
