uri,title,artist_name,artist_id,album_id,album_name,length,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,class
spotify:track:7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0HG8fMDhvN2tH5uPHFsyZP,...Ready For It?,208198,False,0,0.615,0.779,2,-6.454,1,0.135,0.0665,0.0,0.155,0.453,160.0,5
spotify:track:4Vxu50qVrQcycjRyJQaZLC,Life Changes,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,4w5Jvreahp3yvLqc4vCr9I,Life Changes,190226,False,63,0.687,0.845,7,-4.37,1,0.0576,0.1,0.0,0.0452,0.809,87.972,0
spotify:track:6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,4PgleR09JVnm3zY1fW3XBA,24K Magic,225983,False,81,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,22
spotify:track:0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),170826,False,80,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,12
spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),258986,False,86,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,11
spotify:track:0ofbQMrRDsUaVKq2mGLEAb,Havana (feat. Young Thug),Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,5chBPOVY2I0bG5V3igb5QL,Havana (feat. Young Thug),216896,False,1,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,6
spotify:track:0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,213826,False,89,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,11
spotify:track:6C2PfemHQul77DVpnvuAIs,Gonna Fly Now,Bill Conti,272ygo5fv9cYsiCLcV0HV2,1DqgNIlDZPscRHgdCgDhZR,Rocky III: Music From The Motion Picture,170240,False,56,0.415,0.538,9,-12.71,0,0.0368,0.4,0.767,0.0674,0.449,95.121,13
spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,04gDigrS5kc9YWfZHwBETP,1qvLKCq4Xh355Fq0VswCpH,Red Pill Blues (Deluxe),214265,False,0,0.776,0.62,7,-6.198,1,0.067,0.341,0.0,0.0978,0.427,100.025,0
spotify:track:34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),281560,False,84,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,25
